City,district,extern,foreigner,moving,high_contact,low_contact,social_distancing,traffic_in,emphasize
Ho Chi Minh,Binh Chanh,60,100,60,60,100,100,0,100
Ho Chi Minh,Binh Tan,30,60,60,30,60,100,0,100
Ho Chi Minh,Binh Thanh,60,100,60,60,100,100,0,100
Ho Chi Minh,Can Gio,60,60,60,100,100,100,0,100
Ho Chi Minh,Cu Chi,30,60,60,60,100,100,0,100
Ho Chi Minh,Go Vap,100,60,60,100,100,100,0,100
Ho Chi Minh,Hoc Mon,100,100,100,60,100,100,0,100
Ho Chi Minh,Nha Be,30,30,60,30,60,100,0,100
Ho Chi Minh,Phu Nhuan,60,100,60,60,60,100,0,100
Ho Chi Minh,District 1,60,60,30,30,100,100,0,100
Ho Chi Minh,District 10,100,100,100,60,60,100,0,100
Ho Chi Minh,District 11,60,100,30,60,100,100,0,100
Ho Chi Minh,District 12,30,0,30,30,30,100,0,100
Ho Chi Minh,District 2,30,0,0,30,0,100,0,100
Ho Chi Minh,District 3,0,0,0,30,0,100,0,100
Ho Chi Minh,District 4,0,0,0,30,0,100,0,100
Ho Chi Minh,District 5,0,60,30,30,0,100,0,100
Ho Chi Minh,District 6,0,30,30,30,30,100,0,100
Ho Chi Minh,District 7,30,0,0,30,0,100,0,100
Ho Chi Minh,District 8,30,30,30,30,30,100,0,100
Ho Chi Minh,District 9,30,0,0,30,0,100,0,100
Ho Chi Minh,Tan Binh,0,0,0,0,0,100,0,100
Ho Chi Minh,Tan Phu,0,0,0,30,0,100,0,100
Ho Chi Minh,Thu Duc,0,0,0,30,0,100,0,100
